Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Budget,Runtime
The Wild Robot,2024,86,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,[],"Animation, Science Fiction, Family",232785520.00,78000000.00,1h 42m
Venom: The Last Dance,2024,65,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,[],"Science Fiction, Action, Adventure",175000000.00,120000000.00,1h 49m
Terrifier 3,2024,74,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",Damien Leone,[],"Horror, Thriller",46694902.00,2000000.00,2h 5m
Alien: Romulus,2024,73,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Fede Álvarez,[],"Science Fiction, Horror",350752564.00,80000000.00,1h 59m
The Substance,2024,73,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,[],"Horror, Science Fiction, Thriller",38578699.00,17500000.00,2h 21m
Transformers One,2024,81,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Josh Cooley,"['Andrew Barrer', 'Gabriel Ferrari', 'Eric Pearson']","Animation, Science Fiction, Adventure, Family, Action",124530164.00,75000000.00,1h 44m
Deadpool & Wolverine,2024,77,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Shawn Levy,[],"Action, Comedy, Science Fiction",1336816112.00,200000000.00,2h 8m
Inside Out 2,2024,76,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Kelsey Mann,"['Meg LeFauve', 'Dave Holstein']","Animation, Family, Fantasy, Adventure, Comedy",1682636477.00,200000000.00,1h 37m
Venom,2018,68,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",Ruben Fleischer,"['Jeff Pinkner', 'Kelly Marcel', 'Scott Rosenberg']","Science Fiction, Action",856085151.00,116000000.00,1h 52m
Heavenly Touch,2009,60,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.",Joel Lamangan,['Enrique Ramos'],"Drama, Romance",-,-,1h 29m
Beetlejuice Beetlejuice,2024,72,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Tim Burton,"['Alfred Gough', 'Miles Millar']","Comedy, Fantasy, Horror",435300598.00,100000000.00,1h 45m
Despicable Me 4,2024,71,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",Chris Renaud,[],"Animation, Family, Comedy, Action",953140610.00,100000000.00,1h 34m
Azrael,2024,61,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",E.L. Katz,[],"Action, Horror, Thriller",-,12000000.00,1h 26m
Venom: Let There Be Carnage,2021,68,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Andy Serkis,['Kelly Marcel'],"Science Fiction, Action, Adventure",506863592.00,110000000.00,1h 37m
My Hero Academia: You're Next,2024,70,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",Tensai Okamura,['Yosuke Kuroda'],"Animation, Action, Adventure, Science Fiction",30568047.00,-,1h 50m
The Platform 2,2024,57,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",Galder Gaztelu-Urrutia,"['David Desola', 'Egoitz Moreno', 'Pedro Rivero']","Science Fiction, Horror",-,-,1h 40m
Survive,2024,44,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,Frédéric Jardin,['Matt Alexander'],"Thriller, Adventure, Action, Science Fiction",-,5270000.00,1h 30m
Corpse Bride,2005,76,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",Mike Johnson,"['Caroline Thompson', 'Pamela Pettler', 'John August']","Romance, Fantasy, Animation",118133252.00,40000000.00,1h 17m
Brothers,2024,65,"A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other.",Max Barbakow,['Macon Blair'],"Action, Comedy, Crime",-,-,1h 28m
Terrifier,2018,64,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,Damien Leone,[],"Horror, Thriller",416322.00,35000.00,1h 25m
Hellboy: The Crooked Man,2024,54,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",Brian Taylor,"['Christopher Golden', 'Mike Mignola']","Fantasy, Horror, Action",1289658.00,-,1h 40m
SpongeBob Squarepants: Kreepaway Kamp,2024,71,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",Sherm Cohen,[],"TV Movie, Family, Comedy, Horror, Animation",-,-,45m
The Shadow Strays,2024,74,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",Timo Tjahjanto,[],"Action, Crime, Thriller",-,-,2h 25m
The Silent Hour,2024,63,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.",Brad Anderson,[],"Crime, Thriller, Action",-,-,1h 35m
Smile 2,2024,70,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",Parker Finn,[],"Horror, Mystery",83478285.00,28000000.00,2h 7m
Transmorphers: Mech Beasts,2023,52,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",Michael Su,[],"Action, Science Fiction",65452.00,-,1h 24m
Outside,2024,56,"A family retreats to an isolated farm during a zombie outbreak, but years of painful secrets take a toll as they navigate their desolate world.",Carlo Ledesma,[],"Horror, Thriller",-,-,2h 22m
Bad Boys: Ride or Die,2024,75,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",Bilall Fallah,[],"Action, Comedy",402529640.00,100000000.00,1h 55m
Joker: Folie à Deux,2024,58,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,[],"Drama, Crime, Thriller",200714058.00,195000000.00,2h 18m
Smugglers,2023,66,"During the 1970s, in Kunchon, there were women divers who were able to dive without equipment, including two best friends Choon-ja and Jin-sook, Jin-sook's brother and Hammer. They always collected seafood under water for living. But, as fewer factories started to be built near the beach, the women divers started to have trouble with what they were doing for living. Without any choice, the ship crews decided to join the smuggling business in the water to seek a way for their living. But the smuggling business in their village got too big for Jin-sook's family to handle and the peaceful village was gradually broken.",Ryoo Seung-wan,[],"Crime, Action",-,-,2h 9m
Winnie-the-Pooh: Blood and Honey 2,2024,62,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",Rhys Frake-Waterfield,['Matt Leslie'],"Horror, Thriller",7582541.00,415000.00,1h 33m
Operation Black Ops,2023,56,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",Jamaal Burden,[],"Action, Thriller",-,-,1h 20m
Terrifier 2,2022,68,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Damien Leone,[],"Horror, Thriller",15740003.00,250000.00,2h 18m
Flow,2024,89,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",Gints Zilbalodis,[],"Animation, Fantasy, Adventure",-,-,1h 24m
The Crow,2024,58,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",Rupert Sanders,"['Zach Baylin', 'William Josef Schneider']","Action, Fantasy, Horror",13690814.00,50000000.00,1h 51m
Uprising,2024,72,"In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides.",Kim Sang-man,[],"Action, Drama, History",-,-,2h 6m
Project Silence,2024,70,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",Kim Tae-gon,[],"Action, Thriller, Horror, Science Fiction",-,14750000.00,1h 36m
LEGO Marvel Avengers: Mission Demolition,2024,74,"A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers.",Ken Cunningham,[],"Animation, Comedy, Science Fiction",-,-,44m
Bagman,2024,65,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",Colm McCarthy,[],"Horror, Thriller",-,-,1h 32m
My Fault,2023,79,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Domingo González,[],"Romance, Drama",-,-,1h 57m
Pleasure,2021,62,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Ninja Thyberg,[],Drama,393824.00,1800000.00,1h 48m
Lee,2024,68,"The true story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",Ellen Kuras,"['Marion Hume', 'John Collee', 'Liz Hannah']","Drama, History, War",6870131.00,-,1h 57m
The Inseparables,2023,64,"The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.",Jérémie Degruson,"['Joel Cohen', 'Alec Sokolow', 'Cal Brunker', 'Bob Barlen', 'Matthieu Zeller']","Animation, Adventure, Comedy, Family",311198.00,-,1h 30m
It Ends with Us,2024,72,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",Justin Baldoni,['Christy Hall'],"Romance, Drama",348276888.00,25000000.00,2h 11m
The Bad Guys: Haunted Heist,2024,73,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,Kevin Peaty,[],"Animation, Comedy",-,-,25m
Kelas Bintang - Hot Moms,2023,00,We don't have an overview translated in English. Help us expand our database by adding one.,,[],"Drama, Romance",-,-,
Coco,2017,82,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Lee Unkrich,"['Matthew Aldrich', 'Adrian Molina']","Family, Animation, Music, Adventure",807816196.00,175000000.00,1h 45m
Blood for Dust,2024,58,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",Rod Blackhurst,[],"Action, Crime, Thriller",-,-,1h 38m
Never Let Go,2024,62,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",Alexandre Aja,[],"Horror, Drama",13111608.00,20000000.00,1h 41m
Speak No Evil,2024,73,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",James Watkins,[],"Horror, Thriller",75711395.00,15000000.00,1h 50m
IF,2024,73,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,John Krasinski,[],"Comedy, Fantasy, Family",186240904.00,110000000.00,1h 44m
Woman of the Hour,2024,66,"An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game.""",Anna Kendrick,[],"Crime, Drama, Thriller",-,-,1h 34m
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994,33,"The female ninjas have to stop an alliance from carrying out their dastardly deeds, which includes bizarre ninjitsu sex magic to aid them in their quest.",Masaru Tsushima,['Hiromichi Nakamoto'],Action,-,-,1h 19m
The Killer's Game,2024,64,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",J.J. Perry,['James Coyne'],"Action, Comedy, Crime",5090881.00,30000000.00,1h 44m
Borderlands,2024,59,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",Eli Roth,['Joe Crombie'],"Action, Science Fiction, Comedy",30863794.00,115000000.00,1h 41m
The Garfield Movie,2024,71,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",Mark Dindal,"['David Reynolds', 'Mark Torgove', 'Paul A. Kaplan']","Animation, Comedy, Family, Adventure, Action",230295748.00,60000000.00,1h 41m
The Nightmare Before Christmas,1993,78,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",Henry Selick,['Caroline Thompson'],"Fantasy, Animation, Family",75634409.00,18000000.00,1h 16m
Good Mother 3,2019,60,"Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…",Kim Bit-na,['So Young-hwan'],Romance,-,-,1h 10m
Kung Fu Panda 4,2024,71,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Mike Mitchell,[],"Animation, Family, Fantasy, Action",543900620.00,80000000.00,1h 34m
The Flesh,1991,54,"A beautiful film which is basically about a man, a piano player, who meets and falls in love with a beautiful and voluptuous woman, who, by some strange procedure, leaves the man unable to move but with a permanent priapism! After some time he becomes sick of it and she relieves his paralysis. Eventually she gets bored and decides to leave, but he can't take it because he loves her…",Marco Ferreri,[],"Drama, Romance",-,-,1h 30m
Wolfs,2024,66,"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",Jon Watts,[],"Comedy, Thriller, Action",-,80000000.00,1h 48m
Terrifier,2011,63,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",Damien Leone,[],Horror,-,-,19m
Female Ninjas Magic Chronicles 2: Secret of the Christian Bells,1992,70,The Shogun wants a large shipment of gold that the Catholic church sent to help Christianity get a foothold in Japan and the secret to its location is written on five bells hidden in the vaginas of five female ninjas.,Masaru Tsushima,[],Action,-,-,1h 21m
Kill 'em All 2,2024,69,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.",Valeri Milev,[],"Action, Crime, Thriller",-,-,1h 25m
Kingdom of the Planet of the Apes,2024,71,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",Wes Ball,[],"Science Fiction, Adventure, Action",397366385.00,160000000.00,2h 25m
Diabolik - Who Are You?,2023,63,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.",Marco Manetti,['Michelangelo La Neve'],"Crime, Action",-,-,2h 4m
Japanese Mom,2017,59,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",Kim Moo-won,[],"Romance, Drama",-,-,1h 31m
Twisters,2024,70,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Lee Isaac Chung,['Mark L. Smith'],"Thriller, Action",369590675.00,155000000.00,2h 3m
Migration,2023,74,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,['Mike White'],"Animation, Action, Adventure, Comedy, Family",298776052.00,72000000.00,1h 23m
The Park Maniac,2024,59,"An infamous serial killer who assaulted and killed several women in the '90s, gets on a collision course with a young journalist eager for the truth and a career-changing article.",Maurício Eça,[],"Drama, Crime, Thriller, Horror",-,-,1h 43m
Temurun,2024,65,"After their mother dies during a violent break-in, two siblings move in with their estranged father discover their family's sinister heritage.",Inarah Syarafina,[],"Horror, Thriller",-,-,1h 26m
Trouble,2024,69,"Wrongfully convicted of murder, a clumsy electronics salesman faces police corruption and criminal conspiracies in an attempt to prove his innocence.",Jon Holmberg,[],"Action, Comedy, Crime",-,-,1h 38m
Dragonkeeper,2024,73,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.",Salvador Simó,"['Carole Wilkinson', 'Pablo Castrillo', 'Xianping Wang', 'Ignacio Ferreras', 'Rosanna Cecchini']","Action, Adventure, Animation, Family, Fantasy",5427272.00,25600000.00,1h 39m
A Quiet Place: Day One,2024,68,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Michael Sarnoski,[],"Horror, Science Fiction, Thriller",260894737.00,67000000.00,1h 39m
MadS,2024,66,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn.",David Moreau,[],"Horror, Thriller",-,-,1h 26m
Hijack 1971,2024,60,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",Kim Sung-han,[],"Crime, Action, Thriller",14.00,-,1h 40m
Subservience,2024,68,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",SK Dale,"['Will Honley', 'April Maguire']","Science Fiction, Thriller, Horror",159422.00,4400000.00,1h 45m
All Hallows' Eve,2013,57,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown.",Damien Leone,[],Horror,-,-,1h 22m
Bangkok Breaking: Heaven and Hell,2024,66,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.",Kongkiat Khomsiri,['Nophand Boonyai'],"Action, Crime, Drama, Thriller",-,-,2h 27m
The Maze Runner,2014,72,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",Wes Ball,"['T.S. Nowlin', 'Grant Pierce Myers', 'Noah Oppenheim']","Action, Mystery, Science Fiction, Thriller",348319861.00,34000000.00,1h 53m
Godzilla x Kong: The New Empire,2024,72,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Adam Wingard,"['Simon Barrett', 'Terry Rossio', 'Jeremy Slater']","Action, Adventure, Science Fiction",567156493.00,150000000.00,1h 55m
Tatsulok: Tatlo Magkasalo,2024,70,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",Jojo Nadela,[],"Drama, Romance",-,-,1h 1m
Smile,2022,67,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,[],"Horror, Mystery",217408513.00,17000000.00,1h 55m
Taken 3,2014,63,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",Olivier Megaton,"['Luc Besson', 'Robert Mark Kamen']","Thriller, Action",325800000.00,48000000.00,1h 49m
Furiosa: A Mad Max Saga,2024,75,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",George Miller,[],"Action, Science Fiction, Adventure",172775791.00,170000000.00,2h 29m
Beetlejuice,1988,74,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,Tim Burton,"['Michael McDowell', 'Warren Skaaren']","Fantasy, Comedy",84554197.00,15000000.00,1h 32m
The Arctic Convoy,2023,67,"In 1942, a convoy of 35 civilian ships, carrying vital supplies from Iceland to the Soviet Union, faces deadly challenges in the Arctic. Despite Allied naval escort, catastrophic intelligence errors expose the convoy to relentless German air and naval attacks. In the brutal conditions, inexperienced civilian sailors fight for survival, with only 12 ships making it to their destination.",Henrik Martin Dahlsbakken,[],"War, Drama",3637940.00,6600000.00,1h 49m
Kill,2024,72,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",Nikhil Nagesh Bhat,[],"Action, Crime, Thriller, Drama",5400000.00,3000000.00,1h 45m
The Clean Up Crew,2024,51,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.",Jon Keeyes,[],"Action, Crime, Thriller",-,-,1h 35m
Descendants: The Rise of Red,2024,69,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",Jennifer Phang,[],"Fantasy, Adventure, Family, Comedy",-,-,1h 32m
Saving Bikini Bottom: The Sandy Cheeks Movie,2024,68,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",Liza Johnson,[],"Animation, Comedy, Adventure, Family",-,100000000.00,1h 27m
Exorcism in Utero,2023,65,"Herma finds a powerful ring that possesses her when she tries it on; as her body transforms and mind begins to deteriorate, she must find a way out to save herself and her unborn baby.",Erik Skybak,[],Horror,-,-,1h 28m
Coraline,2009,79,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,[],"Animation, Family, Fantasy",172750668.00,60000000.00,1h 40m
Joker,2019,82,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Todd Phillips,[],"Crime, Thriller, Drama",1078958629.00,55000000.00,2h 2m
The Most Wonderful Time of the Year,2024,57,"Sideshow Bob teams up with the most infamous villains of Disney+ to share the true meaning of the Halloween season. Filled with music, mayhem, and madness, this short from ""The Simpsons"" is simply to die for.",David Silverman,[],"Animation, Comedy",-,-,3m
Civil War,2024,69,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Alex Garland,[],"War, Action, Drama",-,50000000.00,1h 49m
Prey,2024,63,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,Mukunda Michael Dewil,[],"Action, Thriller, Horror",-,-,1h 26m
Fast X,2023,71,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Louis Leterrier,"['Justin Lin', 'Dan Mazeau']","Action, Crime, Thriller",704709660.00,340000000.00,2h 22m
