Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Budget,Runtime
Frozen,2013,72,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Chris Buck,[],"Animation, Family, Adventure, Fantasy",1274219009.00,150000000.00,1h 42m
Me Before You,2016,79,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",Thea Sharrock,"['Jojo Moyes', 'Scott Neustadter', 'Michael H. Weber']","Drama, Romance",207945075.00,20000000.00,1h 50m
Train to Busan,2016,78,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",Yeon Sang-ho,[],"Horror, Thriller, Action, Adventure",87547518.00,8500000.00,1h 58m
Untamed Royals,2024,62,"A group of wealthy teenagers commit crimes that escalate from petty mischief to dangerous plots, causing chaotic consequences — but not for themselves.",Humberto Hinojosa,[],"Thriller, Crime, Drama",-,-,1h 39m
Mom's Friend,2015,63,"Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.",Myeong Seok Hwan,[],"Drama, Romance",-,-,1h 31m
Scream 4,2011,65,"Ten years have passed, and Sidney Prescott has put herself back together thanks to her writing. However, her return to Woodsboro sparks the return of the Ghostface Killer.",Wes Craven,['Kevin Williamson'],"Horror, Mystery",,,1h 51m
Deadpool 2,2018,75,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,David Leitch,[],"Action, Comedy, Adventure",785896632.00,110000000.00,2h
The Godfather Part II,1974,86,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",Francis Ford Coppola,['Mario Puzo'],"Drama, Crime",102600000.00,13000000.00,3h 22m
Addams Family Values,1993,70,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",Barry Sonnenfeld,['Paul Rudnick'],"Comedy, Family, Fantasy",48919043.00,47000000.00,1h 34m
Charlie and the Chocolate Factory,2005,71,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Tim Burton,['John August'],"Adventure, Comedy, Family, Fantasy",475000000.00,150000000.00,1h 55m
The Princess and the Frog,2009,72,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",Ron Clements,['Rob Edwards'],"Animation, Romance, Fantasy, Family",270997378.00,105000000.00,1h 38m
Meg 2: The Trench,2023,65,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,Ben Wheatley,"['Erich Hoeber', 'Jon Hoeber', 'Dean Georgaris']","Action, Science Fiction, Horror",384056482.00,129000000.00,1h 56m
The Little Mermaid,2023,63,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",Rob Marshall,['David Magee'],"Adventure, Family, Fantasy, Romance",569626289.00,297000000.00,2h 15m
Despicable Me,2010,72,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Pierre Coffin,"['Ken Daurio', 'Cinco Paul']","Animation, Family, Comedy",543284256.00,69000000.00,1h 35m
Twilight,2008,63,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",Catherine Hardwicke,['Melissa Rosenberg'],"Fantasy, Drama, Romance",393616788.00,37000000.00,2h 2m
The Amazing Spider-Man,2012,67,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",Marc Webb,"['James Vanderbilt', 'Steve Kloves', 'Alvin Sargent']","Action, Adventure, Science Fiction",757930663.00,215000000.00,2h 16m
The Green Mile,1999,85,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Frank Darabont,[],"Fantasy, Drama, Crime",286801374.00,60000000.00,3h 9m
Insurgent,2015,64,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,Robert Schwentke,"['Akiva Goldsman', 'Mark Bomback', 'Brian Duffield']","Action, Adventure, Science Fiction, Thriller",297002527.00,110000000.00,1h 59m
The Dark Knight Rises,2012,78,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Christopher Nolan,['Jonathan Nolan'],"Action, Crime, Drama, Thriller",1081041287.00,250000000.00,2h 45m
Land of Bad,2024,73,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",William Eubank,['David Frigerio'],"Action, War, Thriller",6461949.00,18000000.00,1h 53m
Halloween,1978,76,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",John Carpenter,['Debra Hill'],"Horror, Thriller",70260597.00,325000.00,1h 31m
Ready Player One,2018,76,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",Steven Spielberg,"['Ernest Cline', 'Zak Penn']","Adventure, Action, Science Fiction",607274134.00,175000000.00,2h 20m
"Miraculous: Ladybug & Cat Noir, The Movie",2023,77,"After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other.",Jeremy Zag,['Bettina López Mendoza'],"Animation, Fantasy, Action, Romance, Family",40208268.00,86000000.00,1h 47m
Megamind vs. the Doom Syndicate,2024,47,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",Eric Fogel,[],"Animation, Comedy, Science Fiction",-,-,1h 23m
Anora,2024,74,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",Sean Baker,[],"Drama, Romance, Comedy",1346416.00,3250000.00,2h 19m
Mulan,2020,69,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",Niki Caro,"['Elizabeth Martin', 'Amanda Silver', 'Lauren Hynek', 'Rick Jaffa']","Adventure, Fantasy, Action, Family",69965374.00,200000000.00,1h 55m
Spider-Man,2002,73,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",Sam Raimi,['David Koepp'],"Action, Science Fiction",821708551.00,139000000.00,2h 1m
Fury,2014,75,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",David Ayer,[],"War, Drama, Action",211817906.00,68000000.00,2h 15m
Immaculate,2024,63,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",Michael Mohan,['Andrew Lobel'],"Horror, Mystery, Thriller",28369692.00,9000000.00,1h 29m
The Hobbit: An Unexpected Journey,2012,74,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",Peter Jackson,"['Guillermo del Toro', 'Philippa Boyens', 'Fran Walsh']","Adventure, Fantasy, Action",1021103568.00,250000000.00,2h 49m
